year,scenario,deployment_scale,mitigation_factor,risk_growth_after_mitigation,no_action_risk_index,scenario_risk_index,avoided_risk
30,Continental dryland networks,0.45,0.060300000000000006,0.0328895,280.6793704702627,264.00726422000594,16.672106250256775
0,Global coordinated implementation,0.75,0.17700000000000002,0.028805,100.0,100.0,0.0
1,Global coordinated implementation,0.75,0.17700000000000002,0.028805,103.49999999999999,102.8805,0.619499999999988
2,Global coordinated implementation,0.75,0.17700000000000002,0.028805,107.12249999999999,105.84397280249999,1.2785271974999972
3,Global coordinated implementation,0.75,0.17700000000000002,0.028805,110.87178749999997,108.892808439076,1.9789790609239617
4,Global coordinated implementation,0.75,0.17700000000000002,0.028805,114.75230006249997,112.02946578616357,2.7228342763363997
5,Global coordinated implementation,0.75,0.17700000000000002,0.028805,118.76863056468746,115.25647454813401,3.5121560165534476
6,Global coordinated implementation,0.75,0.17700000000000002,0.028805,122.9255326344515,118.57643729749302,4.349095336958484
7,Global coordinated implementation,0.75,0.17700000000000002,0.028805,127.22792627665729,121.9920315738473,5.235894702809986
8,Global coordinated implementation,0.75,0.17700000000000002,0.028805,131.6809036963403,125.50601204333196,6.174891653008331
9,Global coordinated implementation,0.75,0.17700000000000002,0.028805,136.2897353257122,129.12121272024015,7.168522605472049
10,Global coordinated implementation,0.75,0.17700000000000002,0.028805,141.0598760621121,132.84054925264667,8.219326809465429
11,Global coordinated implementation,0.75,0.17700000000000002,0.028805,145.99697172428603,136.66702127386912,9.329950450416902
12,Global coordinated implementation,0.75,0.17700000000000002,0.028805,151.10686573463602,140.60371482166295,10.50315091297307
13,Global coordinated implementation,0.75,0.17700000000000002,0.028805,156.39560603534827,144.65380482710094,11.741801208247324
14,Global coordinated implementation,0.75,0.17700000000000002,0.028805,161.86945224658544,148.82055767514558,13.04889457143986
15,Global coordinated implementation,0.75,0.17700000000000002,0.028805,167.53488307521593,153.10733383897815,14.42754923623778
16,Global coordinated implementation,0.75,0.17700000000000002,0.028805,173.39860398284847,157.5175905902099,15.881013392638579
17,Global coordinated implementation,0.75,0.17700000000000002,0.028805,179.46755512224814,162.0548847871609,17.412670335087256
18,Global coordinated implementation,0.75,0.17700000000000002,0.028805,185.74891955152682,166.72287574345506,19.026043808071762
19,Global coordinated implementation,0.75,0.17700000000000002,0.028805,192.25013173583025,171.52532817924526,20.724803556584988
20,Global coordinated implementation,0.75,0.17700000000000002,0.028805,198.9788863465843,176.46611525744842,22.512771089135867
21,Global coordinated implementation,0.75,0.17700000000000002,0.028805,205.94314736871473,181.54922170743922,24.393925661275517
22,Global coordinated implementation,0.75,0.17700000000000002,0.028805,213.1511575266197,186.778747038722,26.372410487897696
23,Global coordinated implementation,0.75,0.17700000000000002,0.028805,220.61144804005139,192.15890884717237,28.452539192879016
24,Global coordinated implementation,0.75,0.17700000000000002,0.028805,228.3328487214532,197.69404621651518,30.638802504938013
25,Global coordinated implementation,0.75,0.17700000000000002,0.028805,236.32449842670403,203.3886232177819,32.93587520892211
26,Global coordinated implementation,0.75,0.17700000000000002,0.028805,244.59585587163866,209.2472325095701,35.348623362068565
27,Global coordinated implementation,0.75,0.17700000000000002,0.028805,253.15671082714596,215.27459904200822,37.88211178513774
28,Global coordinated implementation,0.75,0.17700000000000002,0.028805,262.01719570609606,221.47558386741332,40.54161183868274
29,Global coordinated implementation,0.75,0.17700000000000002,0.028805,271.1877975558094,227.8551880607141,43.33260949509531
30,Global coordinated implementation,0.75,0.17700000000000002,0.028805,280.6793704702627,234.418556752803,46.26081371745971
